epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,624.446,1.256,0.69408,1.30972,0.92454,0.89101,0.94144,0.59722,1.35276,0.58161,1.33976,0.0671075,0.000332248,0.000332248
2,947.331,1.25725,0.68828,1.31181,0.93008,0.9255,0.95852,0.6074,1.29185,0.53417,1.28798,0.034107,0.000665044,0.000665044
3,1270.46,1.2775,0.70889,1.32636,0.92552,0.91795,0.95862,0.53458,1.54922,0.58742,1.45726,0.00110427,0.000995691,0.000995691
4,1592.95,1.27761,0.71859,1.32998,0.92558,0.91551,0.9518,0.5538,1.47278,0.57432,1.42645,0.00099275,0.00099275,0.00099275
5,1915.52,1.28953,0.72241,1.32822,0.93733,0.9164,0.95716,0.58856,1.39881,0.54377,1.36499,0.000987136,0.000987136,0.000987136
6,2238.1,1.28579,0.72059,1.33229,0.94124,0.90177,0.95467,0.57263,1.44912,0.55341,1.40986,0.000979949,0.000979949,0.000979949
7,2560.87,1.2817,0.71663,1.33699,0.93516,0.91777,0.95957,0.59404,1.36039,0.52988,1.34608,0.000971213,0.000971213,0.000971213
8,2883.95,1.2781,0.70867,1.32638,0.92327,0.92038,0.95623,0.59198,1.36242,0.57121,1.33589,0.000960956,0.000960956,0.000960956
9,3206.36,1.27698,0.70849,1.33192,0.94439,0.91467,0.96322,0.58901,1.37291,0.53,1.37102,0.000949212,0.000949212,0.000949212
10,3528.84,1.27125,0.70473,1.32296,0.94273,0.90647,0.95359,0.55647,1.49151,0.54368,1.40092,0.000936019,0.000936019,0.000936019
11,3851.46,1.26831,0.69964,1.32088,0.94469,0.91291,0.95888,0.58079,1.44056,0.5497,1.39931,0.00092142,0.00092142,0.00092142
12,4174.23,1.26252,0.69407,1.31674,0.92886,0.92568,0.96133,0.61188,1.33264,0.52415,1.31815,0.000905463,0.000905463,0.000905463
13,4497.14,1.25235,0.68603,1.30998,0.93465,0.9164,0.95439,0.53403,1.56511,0.55851,1.45604,0.0008882,0.0008882,0.0008882
14,4819.63,1.25126,0.68527,1.31236,0.92533,0.93389,0.95699,0.62184,1.27355,0.50241,1.28222,0.000869687,0.000869687,0.000869687
15,5142.5,1.25584,0.67902,1.3114,0.92606,0.9344,0.96082,0.6056,1.35051,0.51477,1.3445,0.000849984,0.000849984,0.000849984
16,5465.4,1.2446,0.67497,1.30429,0.93729,0.9185,0.95768,0.61821,1.28209,0.50511,1.29276,0.000829156,0.000829156,0.000829156
17,5788.04,1.23627,0.66576,1.29401,0.94038,0.92108,0.96102,0.63935,1.24734,0.48919,1.28744,0.000807271,0.000807271,0.000807271
18,6110.98,1.23294,0.67084,1.29203,0.93966,0.92842,0.96447,0.6222,1.29907,0.49275,1.29199,0.000784399,0.000784399,0.000784399
19,6433.6,1.22774,0.65973,1.29517,0.93659,0.93491,0.96239,0.60959,1.33075,0.49329,1.31411,0.000760617,0.000760617,0.000760617
20,6756.24,1.22362,0.65846,1.27969,0.94018,0.92966,0.96142,0.63069,1.2602,0.48496,1.29374,0.000736,0.000736,0.000736
21,7078.86,1.21232,0.64868,1.28292,0.93875,0.92511,0.96074,0.63466,1.25746,0.48307,1.29447,0.00071063,0.00071063,0.00071063
22,7401.29,1.21252,0.64546,1.28177,0.94379,0.93102,0.96184,0.62428,1.27816,0.47795,1.28385,0.00068459,0.00068459,0.00068459
23,7723.8,1.19976,0.63902,1.27588,0.93843,0.92761,0.96323,0.64485,1.22019,0.47817,1.26936,0.000657963,0.000657963,0.000657963
24,8046.67,1.19156,0.6268,1.26891,0.92509,0.93831,0.96135,0.64118,1.24527,0.47826,1.27742,0.000630838,0.000630838,0.000630838
25,8369.16,1.19259,0.62659,1.26305,0.94061,0.93008,0.96183,0.6312,1.28429,0.47938,1.28831,0.000603302,0.000603302,0.000603302
26,8691.58,1.18485,0.6232,1.26448,0.93557,0.93373,0.96194,0.64314,1.23991,0.46735,1.26094,0.000575446,0.000575446,0.000575446
27,9014,1.18478,0.62327,1.26453,0.94069,0.93064,0.96194,0.64205,1.23887,0.47042,1.27146,0.00054736,0.00054736,0.00054736
28,9336.66,1.1788,0.61515,1.25846,0.93424,0.93466,0.96299,0.65153,1.21451,0.46153,1.25051,0.000519135,0.000519135,0.000519135
29,9659.56,1.17381,0.60576,1.25294,0.94146,0.93129,0.96338,0.63958,1.24901,0.46522,1.27114,0.000490865,0.000490865,0.000490865
30,9982.26,1.16524,0.6074,1.24979,0.93732,0.93409,0.96444,0.65062,1.21504,0.45924,1.26348,0.00046264,0.00046264,0.00046264
31,10305.1,1.16031,0.60133,1.24891,0.94365,0.92411,0.9646,0.65418,1.20562,0.45836,1.25548,0.000434554,0.000434554,0.000434554
32,10627.8,1.15548,0.6032,1.24857,0.93829,0.93273,0.96229,0.64984,1.21796,0.46399,1.26834,0.000406698,0.000406698,0.000406698
33,10950.4,1.15131,0.59546,1.24757,0.94696,0.92618,0.96211,0.65086,1.21838,0.46344,1.27809,0.000379162,0.000379162,0.000379162
34,11273.5,1.14582,0.59157,1.24257,0.94302,0.92854,0.96233,0.65291,1.20648,0.45943,1.26945,0.000352037,0.000352037,0.000352037
35,11596,1.13919,0.58688,1.24017,0.946,0.92578,0.96309,0.65107,1.21802,0.45808,1.28316,0.00032541,0.00032541,0.00032541
36,11918.6,1.12901,0.57877,1.23441,0.94649,0.92912,0.96396,0.65277,1.21587,0.45715,1.28021,0.00029937,0.00029937,0.00029937
37,12241.7,1.12989,0.57973,1.23078,0.93783,0.93291,0.96354,0.65086,1.21934,0.45917,1.28116,0.000274,0.000274,0.000274
38,12564.1,1.12563,0.57273,1.2239,0.93878,0.93271,0.96273,0.65169,1.20846,0.45383,1.26621,0.000249383,0.000249383,0.000249383
39,12887,1.11754,0.56745,1.21635,0.94157,0.92941,0.96293,0.65388,1.20812,0.45288,1.26073,0.000225601,0.000225601,0.000225601
40,13209.6,1.10783,0.56123,1.21689,0.94682,0.92446,0.96362,0.65432,1.20598,0.45098,1.26113,0.000202729,0.000202729,0.000202729
41,13533.1,1.11281,0.56672,1.21824,0.93962,0.93377,0.96395,0.65497,1.20558,0.45141,1.26214,0.000180844,0.000180844,0.000180844
42,13856.1,1.10085,0.55909,1.21018,0.9389,0.93429,0.96387,0.6569,1.20336,0.45022,1.26306,0.000160016,0.000160016,0.000160016
43,14178.8,1.10255,0.55517,1.20592,0.94193,0.93026,0.9637,0.6568,1.20416,0.45018,1.26367,0.000140313,0.000140313,0.000140313
44,14501.2,1.09946,0.55738,1.20488,0.94203,0.93001,0.96374,0.65676,1.20699,0.45098,1.26375,0.0001218,0.0001218,0.0001218
45,14823.8,1.09226,0.55109,1.19901,0.94466,0.92745,0.96377,0.65812,1.20216,0.45097,1.25861,0.000104537,0.000104537,0.000104537
46,15148.4,0.9886,0.3935,1.17255,0.94378,0.92728,0.96338,0.65644,1.20227,0.45073,1.25806,8.85795e-05,8.85795e-05,8.85795e-05
47,15469.6,0.97416,0.3839,1.16575,0.94162,0.92711,0.96353,0.65859,1.20122,0.45151,1.25794,7.39807e-05,7.39807e-05,7.39807e-05
48,15791,0.96728,0.38123,1.16076,0.93888,0.92826,0.96364,0.65837,1.20285,0.4523,1.25998,6.07878e-05,6.07878e-05,6.07878e-05
49,16112.1,0.96075,0.37921,1.15181,0.93802,0.92982,0.96368,0.65857,1.20317,0.45323,1.26032,4.90438e-05,4.90438e-05,4.90438e-05
50,16433,0.95778,0.37548,1.15161,0.93684,0.93173,0.96377,0.65921,1.2037,0.45332,1.26131,3.8787e-05,3.8787e-05,3.8787e-05
51,16754.3,0.95648,0.37574,1.14821,0.93488,0.93185,0.96335,0.65912,1.20443,0.45378,1.26214,3.0051e-05,3.0051e-05,3.0051e-05
52,17075.3,0.9553,0.37419,1.15133,0.93904,0.9281,0.9632,0.65902,1.20444,0.4543,1.26284,2.28641e-05,2.28641e-05,2.28641e-05
53,17396.5,0.95505,0.37244,1.14919,0.93916,0.928,0.96325,0.65935,1.20433,0.45486,1.26319,1.72499e-05,1.72499e-05,1.72499e-05
54,17717.8,0.9501,0.37097,1.14688,0.93927,0.92762,0.96301,0.65892,1.2045,0.45535,1.26376,1.32265e-05,1.32265e-05,1.32265e-05
55,18038.9,0.94984,0.37331,1.14654,0.93967,0.92763,0.96302,0.65863,1.20438,0.45548,1.26396,1.08073e-05,1.08073e-05,1.08073e-05
