epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.518,1.675,1.42628,1.56998,0.81097,0.72723,0.76428,0.32312,1.95163,1.29549,1.72848,0.0670894,0.00033243,0.00033243
2,694.692,1.61353,1.24541,1.56001,0.81229,0.76685,0.83058,0.32014,2.06025,1.69607,1.93225,0.0340893,0.000665601,0.000665601
3,1011.06,1.58545,1.18183,1.5511,0.89531,0.8441,0.90092,0.37199,2.0149,0.98181,1.77275,0.00108846,0.000998121,0.000998121
4,1324.62,1.52776,1.05954,1.50315,0.9059,0.82007,0.90219,0.37047,1.98585,0.87367,1.73245,0.000997803,0.000997803,0.000997803
5,1638.05,1.49961,1.01131,1.47623,0.9086,0.88942,0.93749,0.45673,1.76844,0.77563,1.60091,0.000996097,0.000996097,0.000996097
6,1951.67,1.46993,0.97613,1.46335,0.91017,0.86555,0.92127,0.36844,2.04051,0.80055,1.80692,0.000993906,0.000993906,0.000993906
7,2265.12,1.45826,0.94575,1.45704,0.92021,0.89595,0.93846,0.50385,1.63998,0.67447,1.52133,0.000991232,0.000991232,0.000991232
8,2578.03,1.44778,0.92245,1.44117,0.91843,0.89332,0.93995,0.47823,1.70305,0.70298,1.5478,0.000988079,0.000988079,0.000988079
9,2890.66,1.43514,0.90511,1.43915,0.92523,0.89472,0.94753,0.46945,1.72405,0.6994,1.55487,0.000984449,0.000984449,0.000984449
10,3203.44,1.42818,0.89225,1.43209,0.91711,0.9075,0.95107,0.49806,1.60261,0.66285,1.47999,0.000980345,0.000980345,0.000980345
11,3516.92,1.41422,0.86923,1.42418,0.92331,0.89743,0.94672,0.46969,1.73196,0.67599,1.5533,0.000975773,0.000975773,0.000975773
12,3829.61,1.40284,0.85637,1.41544,0.92736,0.90436,0.9543,0.50541,1.62876,0.66076,1.51318,0.000970736,0.000970736,0.000970736
13,4143.37,1.39837,0.85043,1.41189,0.92454,0.90094,0.94646,0.52734,1.57352,0.6479,1.48517,0.000965239,0.000965239,0.000965239
14,4457.01,1.39015,0.83999,1.40815,0.92299,0.91169,0.95234,0.52912,1.51345,0.61526,1.42532,0.000959289,0.000959289,0.000959289
15,4770.8,1.38748,0.8302,1.40095,0.9225,0.90528,0.95109,0.51915,1.59192,0.63737,1.48059,0.000952889,0.000952889,0.000952889
16,5084.1,1.37436,0.81625,1.39457,0.92518,0.89836,0.94404,0.52975,1.57555,0.63443,1.46993,0.000946048,0.000946048,0.000946048
17,5397.88,1.37395,0.8111,1.39617,0.93729,0.90614,0.95286,0.53103,1.53218,0.60415,1.45129,0.000938772,0.000938772,0.000938772
